ARTWORK,DATE,SOURCE TITLE,SOURCE IMAGE
"src: https://static.jojowiki.com/images/thumb/7/7b/latest/20230101214917/Mummy_Shonen_Thunder.png/120px-Mummy_Shonen_Thunder.png
alt: Mummy Shonen Thunder.png
src: https://static.jojowiki.com/images/thumb/5/5a/latest/20230101215122/Shonen_Thunder_Issue_4_2.jpg/120px-Shonen_Thunder_Issue_4_2.jpg
alt: Shonen Thunder Issue 4 2.jpg
src: https://static.jojowiki.com/images/thumb/0/07/latest/20230101215121/Shonen_Thunder_Issue_4.jpg/120px-Shonen_Thunder_Issue_4.jpg
alt: Shonen Thunder Issue 4.jpg
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/d/d9/latest/20200412091310/The_Bottle.png/120px-The_Bottle.png
alt: The Bottle.png
src: https://static.jojowiki.com/images/thumb/7/79/latest/20201102174601/Weekly_Jump_January_2_1978.jpg/120px-Weekly_Jump_January_2_1978.jpg
alt: Weekly Jump January 2 1978.jpg
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/7/77/latest/20210916025925/BT_WSJ_1982_Issue_45_Illustration.png/120px-BT_WSJ_1982_Issue_45_Illustration.png
alt: BT WSJ 1982 Issue 45 Illustration.png
src: https://static.jojowiki.com/images/thumb/a/a8/latest/20210919034324/Weekly_Shonen_Jump_October_25_1982.png/120px-Weekly_Shonen_Jump_October_25_1982.png
alt: Weekly Shonen Jump October 25 1982.png
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/9/9c/latest/20220614013639/BT_WSJ_1982_No_46_Comic_Revolution.png/120px-BT_WSJ_1982_No_46_Comic_Revolution.png
alt: BT WSJ 1982 No 46 Comic Revolution.png
src: https://static.jojowiki.com/images/thumb/2/26/latest/20220614013357/WSJ_1982_No_46_Comic_Revolution.png/120px-WSJ_1982_No_46_Comic_Revolution.png
alt: WSJ 1982 No 46 Comic Revolution.png
src: https://static.jojowiki.com/images/thumb/b/b0/latest/20220614013229/Weekly_Shonen_Jump_1982_Issue_46.jpg/120px-Weekly_Shonen_Jump_1982_Issue_46.jpg
alt: Weekly Shonen Jump 1982 Issue 46.jpg
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/c/cb/latest/20210916030837/CSBT_Series_Preview_WSJ.png/120px-CSBT_Series_Preview_WSJ.png
alt: CSBT Series Preview WSJ.png
src: https://static.jojowiki.com/images/thumb/5/5c/latest/20210820191723/WSJ_BT_announcement.jpg/120px-WSJ_BT_announcement.jpg
alt: WSJ BT announcement.jpg
src: https://static.jojowiki.com/images/thumb/6/6e/latest/20211103200252/B.T._WSJ-41_1983.jpg/120px-B.T._WSJ-41_1983.jpg
alt: B.T. WSJ-41 1983.jpg
src: https://static.jojowiki.com/images/thumb/a/aa/latest/20211103200252/Weekly_Jump_September_26_1983.png/120px-Weekly_Jump_September_26_1983.png
alt: Weekly Jump September 26 1983.png
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/2/2d/latest/20211103201210/WSJ_BT_cover.jpg/120px-WSJ_BT_cover.jpg
alt: WSJ BT cover.jpg
src: https://static.jojowiki.com/images/thumb/d/d1/latest/20210219190456/Weekly_Jump_October_3_1983.jpg/120px-Weekly_Jump_October_3_1983.jpg
alt: Weekly Jump October 3 1983.jpg
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/f/fc/latest/20210916032349/BT_WSJ_contents.png/120px-BT_WSJ_contents.png
alt: BT WSJ contents.png
src: https://static.jojowiki.com/images/thumb/a/ad/latest/20211104051857/WSJ_1983-42_Contents.jpg/120px-WSJ_1983-42_Contents.jpg
alt: WSJ 1983-42 Contents.jpg
src: https://static.jojowiki.com/images/thumb/d/d1/latest/20210219190456/Weekly_Jump_October_3_1983.jpg/120px-Weekly_Jump_October_3_1983.jpg
alt: Weekly Jump October 3 1983.jpg
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/a/a3/latest/20191015214459/WSJ1983No42T.png/120px-WSJ1983No42T.png
alt: WSJ1983No42T.png
src: https://static.jojowiki.com/images/thumb/7/7a/latest/20210915030344/Cool_Shock_B.T._Ch.1.jpg/120px-Cool_Shock_B.T._Ch.1.jpg
alt: Cool Shock B.T. Ch.1.jpg
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/d/d8/latest/20220526043451/CSBT_Color_Page_Pg._1_Clean.jpg/120px-CSBT_Color_Page_Pg._1_Clean.jpg
alt: CSBT Color Page Pg. 1 Clean.jpg
src: https://static.jojowiki.com/images/thumb/c/c9/latest/20210915034254/WSJ1983CSBT_Color_1.png/120px-WSJ1983CSBT_Color_1.png
alt: WSJ1983CSBT Color 1.png
",date,source title,source image
"src: https://static.jojowiki.com/images/thumb/3/3d/latest/20210915025258/WSJ1983CSBT_Color_2.png/120px-WSJ1983CSBT_Color_2.png
alt: WSJ1983CSBT Color 2.png
src: https://static.jojowiki.com/images/thumb/3/3d/latest/20210915025258/WSJ1983CSBT_Color_2.png/120px-WSJ1983CSBT_Color_2.png
alt: WSJ1983CSBT Color 2.png
",date,source title,source image
